Date,Txn Date,Narrative,Credit,Debit
25-03,25-03,CASH BACK CAIRO,69.00,
10-03,10-03,MCDONALDS MAADI 1 C03 CAIRO N. -07A,,161.00
11-03,11-03,ADIDAS - One Kattameya FO CAIRO N. -07A,,999.00
11-03,11-03,ELDAHAN CAIRO,,566.47
12-03,12-03,ADIDAS - One Kattameya FO CAIRO N. -07A,999.00,
13-03,13-03,COFFEE LAB - Emirates El rehab CAIRO N. -07A,,34.00
13-03,13-03,TOTAL FUEL  108215 CAIRO N. -07A,,445.93
15-03,15-03,CIRCLE K MABCO DIS CAIRO,,17.00
15-03,15-03,MCDONALDS MAADI 1 C03 CAIRO N. -07A,,73.00
19-03,19-03,MCDONALDS CHILL OUT CF CAIRO N. -07A,,5.99
19-03,19-03,MCDONALDS CHILL OUT CF CAIRO N. -07A,,28.00
19-03,19-03,TOTAL FUEL 116164 CAIRO N. -07A,,453.00
21-03,21-03,STARBUCKS WATER CAIRO N. -07C,,25.00
21-03,21-03,MCDONALDS CONCORD CAIRO N. -07A,,256.46
22-03,22-03,PROCAR CAIRO N. -07A,,100.00
23-03,23-03,MCDONALDS CHILL OUT MA CAIRO N. -07A,,100.00
24-03,24-03,EMARAT MISR  ELMEARAG CAIRO S07E,,478.99
